id,date,amount,card,id_merchant
222,2018-01-01 21:35:10,6.22,3561954487988605,69
2045,2018-01-01 21:43:12,3.83,5135837688671496,85
395,2018-01-01 22:41:21,9.61,213193946980303,82
3309,2018-01-01 23:13:30,19.03,4263694062533017,5
567,2018-01-01 23:15:10,2.95,4498002758300,64
1683,2018-01-02 01:13:21,11.24,4263694062533017,127
2083,2018-01-02 02:06:21,1.46,4319653513507,93
3488,2018-01-02 04:36:45,3.36,4506405265172173,136
2635,2018-01-02 05:45:43,16.69,5297187379298983,120
432,2018-01-02 10:13:09,8.55,5175947111814778,70
2918,2018-01-02 11:28:35,15.85,180098539019105,16
2020,2018-01-02 13:17:15,2.64,501879657465,84
1084,2018-01-02 15:10:33,10.52,6500236164848279,39
3490,2018-01-02 16:14:55,3.12,3517111172421930,21
1179,2018-01-02 19:40:46,10.44,4741042733274,55
99,2018-01-02 23:27:46,1031.0,501879657465,95
191,2018-01-03 05:13:19,2.76,3535651398328201,149
2387,2018-01-03 08:44:46,3.89,4027907156459098,74
2512,2018-01-03 10:18:20,14.57,4268491956169254,106
793,2018-01-03 10:34:16,2.63,30181963913340,35
533,2018-01-03 15:23:58,1.39,4962915017023706562,100
1077,2018-01-03 18:16:55,10.27,501809222273,84
2120,2018-01-03 21:04:28,1.91,3561072557118696,108
1302,2018-01-04 00:29:04,12.45,3561954487988605,39
2022,2018-01-04 01:28:18,2.81,4644008655884311378,89
2806,2018-01-04 01:35:21,20.33,3516952396080247,112
2922,2018-01-04 03:00:19,17.59,501809222273,100
2650,2018-01-04 03:05:18,1685.0000000000002,3516952396080247,80
1510,2018-01-04 06:34:37,10.22,4188164051171486,80
139,2018-01-04 11:15:55,5.72,3535651398328201,99
1331,2018-01-04 13:41:56,12.7,5135837688671496,122
530,2018-01-04 14:38:12,2.84,3535651398328201,73
2859,2018-01-04 17:19:14,15.48,5175947111814778,72
2694,2018-01-04 19:24:31,14.31,4586962917519654607,134
2127,2018-01-05 00:49:22,2.32,4188164051171486,136
1995,2018-01-05 01:10:27,5.09,501809222273,46
1346,2018-01-05 03:11:18,12.2,4268491956169254,69
2176,2018-01-05 05:47:28,4.64,5175947111814778,103
1552,2018-01-05 06:26:45,10.74,372414832802279,86
487,2018-01-05 06:27:06,4.6,4159836738768855913,48
2077,2018-01-05 07:19:27,1.36,344119623920892,30
314,2018-01-05 10:42:55,5.31,3561072557118696,8
77,2018-01-05 16:58:08,4.57,5135837688671496,91
1570,2018-01-06 01:43:44,10.04,5500708021555307,34
2439,2018-01-06 02:16:41,1.33,4866761290278198714,127
2258,2018-01-06 04:43:33,5.31,5297187379298983,42
1867,2018-01-06 05:13:20,10.82,4866761290278198714,70
846,2018-01-06 06:46:24,2.7,213193946980303,146
2890,2018-01-06 07:00:32,18.35,3561954487988605,76
3291,2018-01-06 08:42:50,18.72,3535651398328201,76
2557,2018-01-06 08:49:34,16.28,4268491956169254,101
325,2018-01-06 23:33:29,7.6,376027549341849,141
2663,2018-01-07 00:30:25,17.84,4159836738768855913,112
3457,2018-01-07 01:10:54,175.0,344119623920892,12
447,2018-01-07 07:33:17,7.07,4834483169177062,14
1249,2018-01-07 10:31:33,10.9,5297187379298983,135
2108,2018-01-07 14:57:23,2.93,4319653513507,137
3028,2018-01-07 15:10:27,17.29,4866761290278198714,126
149,2018-01-07 16:50:22,5.83,4159836738768855913,81
2304,2018-01-07 20:35:00,2.5,6011987562414062,104
1384,2018-01-08 00:26:21,10.04,3581345943543942,64
1371,2018-01-08 01:12:52,10.4,5500708021555307,121
1291,2018-01-08 02:34:32,1029.0,3581345943543942,145
1065,2018-01-08 04:15:30,11.49,4741042733274,130
1340,2018-01-08 04:29:20,10.64,501809222273,116
1544,2018-01-08 06:27:34,10.48,4027907156459098,68
522,2018-01-08 10:48:26,11.06,4743204091443101526,113
812,2018-01-08 11:15:36,333.0,344119623920892,95
1640,2018-01-08 11:21:20,11.98,5500708021555307,133
2550,2018-01-08 11:35:55,15.84,4150721559116778,15
2095,2018-01-08 14:06:25,3.52,180098539019105,95
3130,2018-01-08 16:38:22,21.27,5297187379298983,106
3085,2018-01-08 19:31:23,17.43,584226564303,19
1816,2018-01-08 20:10:59,11.55,344119623920892,102
3480,2018-01-08 21:44:34,1.68,4681896441519,78
