Student ID,student_name,gender,grade,school_name,reading_score,math_score
0,Paul Bradley,M,9th,Huang High School,66,79
1,Victor Smith,M,12th,Huang High School,94,61
2,Kevin Rodriguez,M,12th,Huang High School,90,60
3,Dr. Richard Scott,M,12th,Huang High School,67,58
4,Bonnie Ray,F,9th,Huang High School,97,84
5,Bryan Miranda,M,9th,Huang High School,94,94
6,Sheena Carter,F,11th,Huang High School,82,80
7,Nicole Baker,F,12th,Huang High School,96,69
8,Michael Roth,M,10th,Huang High School,95,87
9,Matthew Greene,M,10th,Huang High School,96,84
10,Andrew Alexander,M,10th,Huang High School,90,70
11,Daniel Cooper,M,10th,Huang High School,78,77
12,Brittney Walker,F,9th,Huang High School,64,79
13,William Long,M,9th,Huang High School,71,79
14,Tammy Hebert,F,10th,Huang High School,85,67
15,Dr. Jordan Carson,M,11th,Huang High School,94,88
16,Donald Zamora,M,9th,Huang High School,88,55
17,Kimberly Santiago,F,9th,Huang High School,74,75
18,Kevin Stevens,M,9th,Huang High School,64,69
19,Brandi Lyons,F,9th,Huang High School,89,80
20,Lisa Davis,F,10th,Huang High School,91,89
21,Kristen Lopez,F,10th,Huang High School,90,77
22,Kimberly Stewart,F,11th,Huang High School,99,84
23,Christopher Parker,M,9th,Huang High School,81,68
24,Chelsea Griffith,F,11th,Huang High School,85,73
25,Cesar Morris,M,9th,Huang High School,92,70
26,Melanie Decker,F,9th,Huang High School,63,85
27,Tracey Oconnor,F,10th,Huang High School,80,58
28,Kelly James,F,11th,Huang High School,73,55
29,Nicole Brown,F,12th,Huang High School,90,88
30,Bobby Harris,M,9th,Huang High School,94,99
31,Brian Fernandez,M,10th,Huang High School,97,65
32,Candace Phelps,F,11th,Huang High School,93,90
33,Amy Gonzalez,F,12th,Huang High School,95,68
34,Steven Green,M,11th,Huang High School,65,74
35,Benjamin Carlson,M,10th,Huang High School,99,61
36,Kevin Bailey,M,10th,Huang High School,76,76
37,Jesse Newton,M,10th,Huang High School,63,66
38,Kimberly Mercado,F,12th,Huang High School,73,77
39,Gregory Roberts,M,9th,Huang High School,80,61
40,Matthew Mayer,M,9th,Huang High School,79,69
41,Jennifer Parks,F,11th,Huang High School,85,95
42,John Carlson,M,9th,Huang High School,65,89
43,Megan Roberts,F,9th,Huang High School,66,90
44,Debra Flores,F,10th,Huang High School,75,66
45,Heidi Jackson,F,11th,Huang High School,64,93
46,Denise Bradford,F,12th,Huang High School,73,59
47,Ellen Brown,F,11th,Huang High School,77,81
48,Amy Perkins,F,9th,Huang High School,76,66
49,Natalie Mitchell,F,10th,Huang High School,73,93
50,Tiffany Gutierrez,F,10th,Huang High School,82,95
51,Jennifer Hess,F,11th,Huang High School,91,56
52,Christine Fletcher,F,12th,Huang High School,69,78
53,Jon Smith,M,9th,Huang High School,96,69
54,Tracey Yates,F,9th,Huang High School,83,68
55,Jerry Gordon,M,12th,Huang High School,95,71
56,Michael Cox,M,11th,Huang High School,72,72
57,Madeline Snyder MD,F,9th,Huang High School,97,56
58,Allison King,F,11th,Huang High School,74,84
59,Theresa Meyer,F,9th,Huang High School,88,70
60,Jared Wood,M,9th,Huang High School,63,89
61,Eric Maynard,M,9th,Huang High School,64,95
62,Mark Owens,M,11th,Huang High School,74,65
63,Ronnie Conley,M,11th,Huang High School,77,61
64,Kimberly Davis,F,12th,Huang High School,87,57
65,Amy Mitchell,F,11th,Huang High School,74,60
66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93
67,Elizabeth Henderson,F,12th,Huang High School,70,60
68,James Lopez,M,12th,Huang High School,65,82
69,Michael Morgan,M,11th,Huang High School,75,89
70,Angela Francis,F,12th,Huang High School,70,60
71,Breanna Taylor,F,10th,Huang High School,93,68
72,Jason Johnson,M,12th,Huang High School,82,65
73,Kyle Martin,M,10th,Huang High School,72,94
74,Dr. Scott Gill,M,10th,Huang High School,85,85
75,Lisa Long,F,10th,Huang High School,87,62
76,Erin Liu,F,9th,Huang High School,78,76
77,Marcus Richards,M,12th,Huang High School,83,76
78,Jason Thompson,M,12th,Huang High School,99,57
79,Elizabeth Mckinney,F,9th,Huang High School,74,81
80,Jessica Bailey,F,10th,Huang High School,67,70
81,Lisa Frye,F,12th,Huang High School,94,73
82,Lindsey Baker,F,11th,Huang High School,81,57
83,Lisa Ramirez,F,12th,Huang High School,64,76
84,Joseph Butler,M,10th,Huang High School,77,63
85,Tina Lynch,F,10th,Huang High School,94,60
86,Leah Benitez,F,10th,Huang High School,93,84
87,Elizabeth Parker,F,10th,Huang High School,85,56
88,Melissa Hunter,F,10th,Huang High School,90,70
89,Miss Madison Everett,F,11th,Huang High School,70,78
90,Ronald Garcia,M,9th,Huang High School,99,86
91,Mark Cherry,M,10th,Huang High School,96,98
92,Ryan Stokes,M,9th,Huang High School,75,72
